gameid,player
NA1_3937016725,Cibreca
NA1_3937005068,Cibreca
NA1_3936649033,Cibreca
NA1_3934460153,Cibreca
NA1_3930864313,Cibreca
NA1_3935051420,Bledivien
NA1_3934944020,Bledivien
NA1_3934838532,Bledivien
NA1_3934834934,Bledivien
NA1_3931325974,Bledivien
NA1_3940707261,Miisterii
NA1_3940712638,Miisterii
NA1_3940629402,Miisterii
NA1_3940596840,Miisterii
NA1_3940594201,Miisterii
NA1_3938422294,ShredderKill
NA1_3938382683,ShredderKill
NA1_3937244984,ShredderKill
NA1_3935857413,ShredderKill
NA1_3935268733,ShredderKill
NA1_3930539547,Peng1618
NA1_3930538209,Peng1618
NA1_3930531130,Peng1618
NA1_3930493112,Peng1618
NA1_3930387165,Peng1618
NA1_3940134159,0murderkiller0
NA1_3940100345,0murderkiller0
NA1_3940045851,0murderkiller0
NA1_3939931477,0murderkiller0
NA1_3937512988,0murderkiller0
NA1_3940402714,12hourDMTtrip
NA1_3940337849,12hourDMTtrip
NA1_3939521652,12hourDMTtrip
NA1_3939455810,12hourDMTtrip
NA1_3939123726,12hourDMTtrip
NA1_3940651210,Gambit101
NA1_3940493484,Gambit101
NA1_3940450542,Gambit101
NA1_3940415344,Gambit101
NA1_3940319311,Gambit101
NA1_3939273463,Jonbon1O1O1OO
NA1_3939290121,Jonbon1O1O1OO
NA1_3939135901,Jonbon1O1O1OO
NA1_3939181979,Jonbon1O1O1OO
NA1_3939130115,Jonbon1O1O1OO
NA1_3937434400,Mellllowwww
NA1_3937372270,Mellllowwww
NA1_3937015763,Mellllowwww
NA1_3936251052,Mellllowwww
NA1_3936241730,Mellllowwww
NA1_3940075821,kentowubwub
NA1_3939979331,kentowubwub
NA1_3939918116,kentowubwub
NA1_3939825853,kentowubwub
NA1_3939589456,kentowubwub
NA1_3937434400,KineticSSB
NA1_3937024301,KineticSSB
NA1_3929743588,KineticSSB
NA1_3927237186,KineticSSB
NA1_3926666220,KineticSSB
NA1_3940613073,duoqing
NA1_3940354756,duoqing
NA1_3940362102,duoqing
NA1_3940309397,duoqing
NA1_3940204119,duoqing
NA1_3938900771,AquieBRporr4
NA1_3937679359,AquieBRporr4
NA1_3937675001,AquieBRporr4
NA1_3937649006,AquieBRporr4
NA1_3937635450,AquieBRporr4
NA1_3940677720,RedSkyy1
NA1_3940679773,RedSkyy1
NA1_3940596761,RedSkyy1
NA1_3940593575,RedSkyy1
NA1_3938956052,RedSkyy1
NA1_3940406531,schmlondays
NA1_3940384921,schmlondays
NA1_3940034223,schmlondays
NA1_3939987279,schmlondays
NA1_3939807188,schmlondays
NA1_3938389829,Hotshot1673
NA1_3937481759,Hotshot1673
NA1_3937434400,Hotshot1673
NA1_3937372270,Hotshot1673
NA1_3937317296,Hotshot1673
NA1_3939288666,alfred15401540
NA1_3937443418,alfred15401540
NA1_3937434400,alfred15401540
NA1_3937410563,alfred15401540
NA1_3936377921,alfred15401540
NA1_3940044930,fqnxing
NA1_3940030797,fqnxing
NA1_3939288666,fqnxing
NA1_3939323333,fqnxing
NA1_3938758312,fqnxing
NA1_3939565403,BushidoBoxer
NA1_3939413339,BushidoBoxer
NA1_3939400586,BushidoBoxer
NA1_3939372223,BushidoBoxer
NA1_3938716825,BushidoBoxer
NA1_3940695735,KnightWing07
NA1_3939754204,KnightWing07
NA1_3939565403,KnightWing07
NA1_3938716825,KnightWing07
NA1_3938732556,KnightWing07
NA1_3940507894,WAFFLESTONKS
NA1_3938721158,WAFFLESTONKS
NA1_3938577307,WAFFLESTONKS
NA1_3937461513,WAFFLESTONKS
NA1_3937386558,WAFFLESTONKS
NA1_3940659871,GardnerMinshewII
NA1_3940061917,GardnerMinshewII
NA1_3939917873,GardnerMinshewII
NA1_3939914035,GardnerMinshewII
NA1_3939796189,GardnerMinshewII
NA1_3937506531,BigHorseofCourse
NA1_3937438208,BigHorseofCourse
NA1_3937372270,BigHorseofCourse
NA1_3937323280,BigHorseofCourse
NA1_3936286628,BigHorseofCourse
NA1_3940676236,cocainesampler
NA1_3937443127,cocainesampler
NA1_3937435002,cocainesampler
NA1_3937372270,cocainesampler
NA1_3928946837,cocainesampler
NA1_3938723990,kabooom15
NA1_3938649343,kabooom15
NA1_3938649848,kabooom15
NA1_3937386990,kabooom15
NA1_3937372270,kabooom15
NA1_3939956363,Sjbeast
NA1_3939920472,Sjbeast
NA1_3937372270,Sjbeast
NA1_3933705055,Sjbeast
NA1_3932701521,Sjbeast
NA1_3940490033,FaultyGamer
NA1_3940406576,FaultyGamer
NA1_3940383647,FaultyGamer
NA1_3940377871,FaultyGamer
NA1_3940316973,FaultyGamer
NA1_3937855189,Pexier
NA1_3937853120,Pexier
NA1_3937681755,Pexier
NA1_3937616055,Pexier
NA1_3937620681,Pexier
NA1_3937271632,meruem15
NA1_3937085936,meruem15
NA1_3937150268,meruem15
NA1_3937015763,meruem15
NA1_3936313836,meruem15
NA1_3940520153,RunNTheDark
NA1_3940474982,RunNTheDark
NA1_3940321082,RunNTheDark
NA1_3940259069,RunNTheDark
NA1_3939250139,RunNTheDark
NA1_3939829342,lbivtxlf
NA1_3939752741,lbivtxlf
NA1_3939625669,lbivtxlf
NA1_3939620012,lbivtxlf
NA1_3938905420,lbivtxlf
NA1_3940689866,LiquidToaster
NA1_3940127799,LiquidToaster
NA1_3940152368,LiquidToaster
NA1_3940057553,LiquidToaster
NA1_3940074027,LiquidToaster
NA1_3940444900,ImGoingZugZug
NA1_3940432693,ImGoingZugZug
NA1_3940329545,ImGoingZugZug
NA1_3939948917,ImGoingZugZug
NA1_3939356465,ImGoingZugZug
NA1_3940729248,SoulofVetis
NA1_3940724207,SoulofVetis
NA1_3940700082,SoulofVetis
NA1_3940596223,SoulofVetis
NA1_3940642215,SoulofVetis
NA1_3938375206,thebaconhero
NA1_3937436809,thebaconhero
NA1_3937015763,thebaconhero
NA1_3935043642,thebaconhero
NA1_3934949103,thebaconhero
NA1_3939579523,backupaccout
NA1_3939591571,backupaccout
NA1_3937550976,backupaccout
NA1_3937493977,backupaccout
NA1_3937316273,backupaccout
NA1_3939936112,Dandino
NA1_3939829180,Dandino
NA1_3939782837,Dandino
NA1_3939740901,Dandino
NA1_3939575639,Dandino
NA1_3939989030,bennymod
NA1_3939637126,bennymod
NA1_3939620889,bennymod
NA1_3939536631,bennymod
NA1_3939500695,bennymod
NA1_3940211299,Keisean
NA1_3938827917,Keisean
NA1_3938834850,Keisean
NA1_3938739693,Keisean
NA1_3937549571,Keisean
NA1_3936185049,Gamermancy
NA1_3933307821,Gamermancy
NA1_3933284341,Gamermancy
NA1_3929056639,Gamermancy
NA1_3928072018,Gamermancy
NA1_3940503132,Del1very
NA1_3940449909,Del1very
NA1_3940435783,Del1very
NA1_3940414028,Del1very
NA1_3940381635,Del1very
NA1_3940770035,CIrlycue
NA1_3936974304,CIrlycue
NA1_3936828449,CIrlycue
NA1_3936656084,CIrlycue
NA1_3936633804,CIrlycue
NA1_3940396427,Miniisme
NA1_3940159262,Miniisme
NA1_3940164127,Miniisme
NA1_3940088363,Miniisme
NA1_3940045369,Miniisme
NA1_3939797378,MoroDau
NA1_3939820203,MoroDau
NA1_3939625473,MoroDau
NA1_3939468622,MoroDau
NA1_3939464534,MoroDau
NA1_3940611738,Valbekpo
NA1_3940586392,Valbekpo
NA1_3940553926,Valbekpo
NA1_3940560077,Valbekpo
NA1_3940485975,Valbekpo
NA1_3939730624,BigBoiiCuck
NA1_3939573500,BigBoiiCuck
NA1_3939499869,BigBoiiCuck
NA1_3939407135,BigBoiiCuck
NA1_3938787378,BigBoiiCuck
NA1_3940611738,TSMReeechard
NA1_3940586392,TSMReeechard
NA1_3940553926,TSMReeechard
NA1_3940560077,TSMReeechard
NA1_3940485975,TSMReeechard
NA1_3935371722,CheesyTea
NA1_3935316929,CheesyTea
NA1_3934004980,CheesyTea
NA1_3933909653,CheesyTea
NA1_3933894196,CheesyTea
NA1_3939434684,Johnson1331
NA1_3938738975,Johnson1331
NA1_3938761022,Johnson1331
NA1_3938640408,Johnson1331
NA1_3938505544,Johnson1331
NA1_3940577987,Demxnn
NA1_3940325672,Demxnn
NA1_3940351460,Demxnn
NA1_3940309255,Demxnn
NA1_3940307708,Demxnn
NA1_3939406505,PuffinPineapple
NA1_3938476311,PuffinPineapple
NA1_3938422214,PuffinPineapple
NA1_3938342194,PuffinPineapple
NA1_3938248480,PuffinPineapple
NA1_3937413555,ReferiJerator
NA1_3937286424,ReferiJerator
NA1_3937157419,ReferiJerator
NA1_3936241730,ReferiJerator
NA1_3936048605,ReferiJerator
NA1_3940684844,WaffleStomper
NA1_3940599486,WaffleStomper
NA1_3940633067,WaffleStomper
NA1_3940609884,WaffleStomper
NA1_3939570552,WaffleStomper
