gameid,player,champion,ally_win,player_wr,t_bint,is_main_h,mastery_points,smurf_count_a,smurf_count_e,hotstreak_count_a,hotstreak_count_e,4fun,veteran_count_a,veteran_count_e,inters_count_a,inters_count_e,break_count_a,break_count_e,a_sum_a,a_sum_e,d_sum_a,d_sum_e,m_sum_a,m_sum_e,wr_med_a,wr_min_a,wr_max_a,wr_med_e,wr_min_e,wr_max_e,max_med_kd_a,max_med_kd_e,4fun_a,4fun_e
NA1_3940088363,Miniisme,Vayne,True,0.5161290322580645,0.12811888356160672,False,27404,0,0,0,1,False,0,0,1,1,54149.0,71418.0,33,25,13,24,5,29,0.48656716417910445,0.4634146341463415,0.5207100591715976,0.4772727272727273,0.3835616438356164,0.5062761506276151,2.8333333333333335,4.0,0,0
NA1_3940045369,Miniisme,Tristana,True,0.5161290322580645,0.12811888356160672,True,11737,1,0,0,0,False,0,0,0,1,75949.0,81138.0,31,35,24,17,25,24,0.5065710872162486,0.4411764705882353,0.5307262569832403,0.4965034965034965,0.4596774193548387,0.5232558139534884,4.75,1.5555555555555556,0,0
NA1_3939820203,MoroDau,Lux,True,0.453781512605042,0.07315902179966084,True,20720,1,1,0,1,False,0,0,0,0,296278.0,100331.0,21,30,25,20,35,26,0.4892205638474295,0.453781512605042,0.541958041958042,0.5,0.43137254901960786,0.5038167938931297,4.75,5.142857142857143,0,0
NA1_3939625473,MoroDau,Lux,True,0.453781512605042,0.07315902179966084,True,20720,1,0,1,0,False,0,0,0,0,76105.0,163337.0,29,40,23,21,26,18,0.4957142857142857,0.453781512605042,0.5352697095435685,0.5,0.46863468634686345,0.5135869565217391,4.75,1.1111111111111112,0,0
NA1_3939468622,MoroDau,Lux,True,0.453781512605042,0.07315902179966084,True,20720,1,0,3,0,False,0,0,0,3,173257.0,70334.0,23,33,24,18,34,24,0.4935064935064935,0.44654088050314467,0.5177304964539007,0.4992721979621543,0.35135135135135137,0.5202156334231806,4.75,3.2222222222222223,1,0
NA1_3939464534,MoroDau,Hecarim,False,0.453781512605042,0.07315902179966084,False,6067,0,0,0,1,False,0,0,0,2,31121.0,89792.0,31,34,18,22,26,23,0.4686192468619247,0.425,0.5086705202312138,0.5,0.49846153846153846,0.5242718446601942,2.75,1.2,0,0
NA1_3940611738,Valbekpo,Diana,False,0.5254237288135594,0.05408744977650183,False,16816,0,0,1,0,False,0,1,1,0,77696.0,163736.0,32,29,30,18,25,26,0.5197934595524957,0.35,0.5254237288135594,0.5,0.4671814671814672,0.5221238938053098,2.1,2.8,0,0
NA1_3940586392,Valbekpo,Graves,False,0.5254237288135594,0.05408744977650183,False,10650,0,0,2,2,False,0,0,0,0,167268.0,346724.0,30,37,19,25,27,24,0.5197934595524957,0.45901639344262296,0.5254237288135594,0.5289256198347108,0.5064102564102564,0.5647058823529412,2.4444444444444446,1.4,0,0
NA1_3940560077,Valbekpo,XinZhao,False,0.5254237288135594,0.05408744977650183,True,43146,0,0,2,0,False,0,0,0,2,42045.0,141687.0,25,28,26,17,29,18,0.5197934595524957,0.4742268041237113,0.5410447761194029,0.5078125,0.40384615384615385,0.5274725274725275,4.166666666666667,1.8333333333333333,0,0
NA1_3940485975,Valbekpo,XinZhao,True,0.5254237288135594,0.05408744977650183,True,43146,0,0,1,3,False,0,0,1,0,63744.0,81105.0,34,27,23,25,21,27,0.5197934595524957,0.4976958525345622,0.5551948051948052,0.5126234906695939,0.4936708860759494,0.5292740046838408,1.6923076923076923,4.333333333333333,0,0
NA1_3939730624,BigBoiiCuck,LeeSin,True,0.505654281098546,0.08792104702877684,False,72754,1,0,0,0,False,0,0,1,2,82988.0,167656.0,31,22,22,21,23,23,0.5015873015873016,0.4411764705882353,0.5212765957446809,0.49828178694158076,0.4230769230769231,0.5246376811594203,6.6,2.0,0,0
NA1_3939573500,BigBoiiCuck,Jax,True,0.505654281098546,0.08792104702877684,False,64209,0,0,0,2,False,0,0,2,0,156421.0,126661.0,28,35,24,20,28,21,0.505654281098546,0.43037974683544306,0.525691699604743,0.5291666666666667,0.48598130841121495,0.5445544554455446,2.111111111111111,4.0,0,1
NA1_3939499869,BigBoiiCuck,Kayn,True,0.505654281098546,0.08792104702877684,False,123894,0,0,0,0,False,1,0,0,1,97237.0,92274.0,33,28,21,22,15,26,0.505654281098546,0.43352601156069365,0.5177865612648221,0.497787610619469,0.49523809523809526,0.5230414746543779,2.2857142857142856,3.5,0,1
NA1_3939407135,BigBoiiCuck,Zed,True,0.505654281098546,0.08792104702877684,False,10566,0,0,0,0,False,0,0,2,3,78514.0,417504.0,34,29,18,25,21,30,0.4852941176470588,0.4716981132075472,0.5189003436426117,0.49137931034482757,0.4668304668304668,0.5348101265822784,1.5,3.0,0,1
NA1_3935371722,CheesyTea,Seraphine,False,0.5078864353312302,0.06285822870108679,False,126626,0,0,0,3,False,0,1,2,1,99126.0,158913.0,30,29,15,31,18,21,0.5033557046979866,0.4074074074074074,0.5257352941176471,0.49369747899159666,0.46938775510204084,0.5057851239669422,1.0,1.8333333333333333,1,0
NA1_3935316929,CheesyTea,Seraphine,False,0.5078864353312302,0.06285822870108679,False,126626,0,0,0,2,False,1,0,1,0,11513.0,79643.0,26,38,19,22,17,17,0.4827586206896552,0.45977011494252873,0.5078864353312302,0.5089285714285714,0.4482758620689655,0.5486111111111112,1.0,2.857142857142857,1,1
NA1_3934004980,CheesyTea,Syndra,True,0.5078864353312302,0.06285822870108679,False,16818,0,0,1,1,False,0,0,1,0,172637.0,164103.0,25,29,26,21,29,21,0.5078864353312302,0.4666666666666667,0.5339805825242718,0.4675324675324675,0.4444444444444444,0.5652173913043478,1.5,3.625,1,2
