gameid,player
NA1_3942345351,ANTIQUEGUN
NA1_3942340840,ANTIQUEGUN
NA1_3942275620,ANTIQUEGUN
NA1_3942279900,ANTIQUEGUN
NA1_3942344143,BanHammer4U
NA1_3942268983,BanHammer4U
NA1_3942284367,BanHammer4U
NA1_3942232651,BanHammer4U
NA1_3941838808,BanHammer4U
NA1_3940061818,Woolly
NA1_3939948559,Woolly
NA1_3937640102,Woolly
NA1_3937554571,Woolly
NA1_3937521021,Woolly
NA1_3941598166,Season2Strats
NA1_3940552255,Season2Strats
NA1_3940021325,Season2Strats
NA1_3939791636,Season2Strats
NA1_3939568570,Season2Strats
NA1_3934796495,Xcaliber600
NA1_3934566694,Xcaliber600
NA1_3934571905,Xcaliber600
NA1_3934447009,Xcaliber600
NA1_3934442367,Xcaliber600
NA1_3940963030,CowardFightMe
NA1_3940897027,CowardFightMe
NA1_3940910556,CowardFightMe
NA1_3940030244,CowardFightMe
NA1_3939932938,CowardFightMe
NA1_3935051420,Bledivien
NA1_3934944020,Bledivien
NA1_3934838532,Bledivien
NA1_3934834934,Bledivien
NA1_3931325974,Bledivien
NA1_3941477911,lordslothmaster
NA1_3941170233,lordslothmaster
NA1_3941086285,lordslothmaster
NA1_3941120643,lordslothmaster
NA1_3941045613,lordslothmaster
NA1_3941597043,Cr4zyNightmare
NA1_3941633020,Cr4zyNightmare
NA1_3940571628,Cr4zyNightmare
NA1_3936244230,Cr4zyNightmare
NA1_3936180235,Cr4zyNightmare
NA1_3941829187,Cr4zyDreamer
NA1_3941833901,Cr4zyDreamer
NA1_3941769251,Cr4zyDreamer
NA1_3941726257,Cr4zyDreamer
NA1_3941681029,Cr4zyDreamer
NA1_3939756818,procrastinadian
NA1_3939780128,procrastinadian
NA1_3939560955,procrastinadian
NA1_3939362803,procrastinadian
NA1_3936997520,procrastinadian
NA1_3941449205,DireBat
NA1_3940663886,DireBat
NA1_3940719795,DireBat
NA1_3940607180,DireBat
NA1_3940651627,DireBat
NA1_3939311825,TGaODe
NA1_3939258920,TGaODe
NA1_3942533588,DeadlyJester
NA1_3942483382,DeadlyJester
NA1_3942491607,DeadlyJester
NA1_3941921595,DeadlyJester
NA1_3941685389,DeadlyJester
NA1_3941397746,0Zone
NA1_3941422594,0Zone
NA1_3941302921,0Zone
NA1_3940830637,0Zone
NA1_3940526263,0Zone
NA1_3940595706,Rempool
NA1_3940601980,Rempool
NA1_3939139429,Rempool
NA1_3939175012,Rempool
NA1_3938158618,Rempool
NA1_3940648720,mymomletmeplay2
NA1_3940645169,mymomletmeplay2
NA1_3940651166,mymomletmeplay2
NA1_3940576569,mymomletmeplay2
NA1_3940155638,mymomletmeplay2
NA1_3934985437,GayTidus
NA1_3934899188,GayTidus
NA1_3934944020,GayTidus
NA1_3934867137,GayTidus
NA1_3933993605,GayTidus
NA1_3934937457,CyanideSurprise
NA1_3934944020,CyanideSurprise
NA1_3934809586,CyanideSurprise
NA1_3933547583,CyanideSurprise
NA1_3932590364,CyanideSurprise
NA1_3934867390,DominantJungler
NA1_3934814078,DominantJungler
NA1_3934649359,DominantJungler
NA1_3934675405,DominantJungler
NA1_3934569717,DominantJungler
NA1_3940778997,idiotsreadthis
NA1_3940785097,idiotsreadthis
NA1_3940700241,idiotsreadthis
NA1_3940618177,idiotsreadthis
NA1_3940546263,idiotsreadthis
NA1_3934918751,Mexchex
NA1_3934944020,Mexchex
NA1_3934828289,Mexchex
NA1_3933566271,Mexchex
NA1_3932768138,Mexchex
NA1_3934918751,reynoldsfiend
NA1_3934944020,reynoldsfiend
NA1_3934828289,reynoldsfiend
NA1_3941655989,Randalf29
NA1_3941596268,Randalf29
NA1_3939357993,Randalf29
NA1_3939395749,Randalf29
NA1_3939380788,Randalf29
NA1_3934937009,mungyboy
NA1_3934932902,mungyboy
NA1_3934838532,mungyboy
NA1_3934813220,mungyboy
NA1_3928112352,mungyboy
NA1_3942026734,PushResetAgain
NA1_3941712103,PushResetAgain
NA1_3941183808,PushResetAgain
NA1_3941149012,PushResetAgain
NA1_3940730440,PushResetAgain
NA1_3940757439,BestVfanEUW
NA1_3940761836,BestVfanEUW
NA1_3940668232,BestVfanEUW
NA1_3940116426,BestVfanEUW
NA1_3940150539,BestVfanEUW
NA1_3942234183,SchizoSimeon
NA1_3942096992,SchizoSimeon
NA1_3940778954,SchizoSimeon
NA1_3940784789,SchizoSimeon
NA1_3940751438,SchizoSimeon
NA1_3934838532,lwxiufp
NA1_3934862266,lwxiufp
NA1_3934666545,lwxiufp
NA1_3934642890,lwxiufp
NA1_3934097633,lwxiufp
NA1_3940784789,ShistoRai
NA1_3940751438,ShistoRai
NA1_3940727735,ShistoRai
NA1_3935054453,ShistoRai
NA1_3935027300,ShistoRai
NA1_3941653872,IDawgI
NA1_3941670275,IDawgI
NA1_3941578026,IDawgI
NA1_3941457386,IDawgI
NA1_3941472813,IDawgI
NA1_3942550495,Egurlsimp
NA1_3942486374,Egurlsimp
NA1_3940628552,Egurlsimp
NA1_3940645296,Egurlsimp
NA1_3940590716,Egurlsimp
NA1_3942067955,happyDpad
NA1_3942023320,happyDpad
NA1_3941484835,happyDpad
NA1_3941419667,happyDpad
NA1_3940693126,happyDpad
NA1_3941619448,TheRealRyanBoo32
NA1_3941626307,TheRealRyanBoo32
NA1_3940873475,TheRealRyanBoo32
NA1_3940828326,TheRealRyanBoo32
NA1_3940212749,TheRealRyanBoo32
NA1_3934834934,FruitLoopsDealer
NA1_3934812666,FruitLoopsDealer
NA1_3941590283,link2video
NA1_3941535857,link2video
NA1_3941487957,link2video
NA1_3941387334,link2video
NA1_3941365583,link2video
NA1_3935570819,TTKDreadnought
NA1_3934906038,TTKDreadnought
NA1_3934890921,TTKDreadnought
NA1_3934834934,TTKDreadnought
NA1_3941494279,Pogginton
NA1_3941471934,Pogginton
NA1_3941389328,Pogginton
NA1_3938505416,Pogginton
NA1_3934834934,Pogginton
NA1_3941494279,Pattyxx
NA1_3941471934,Pattyxx
NA1_3941389328,Pattyxx
NA1_3940981442,Pattyxx
NA1_3940913470,Pattyxx
NA1_3941870900,wnqay
NA1_3941824207,wnqay
NA1_3941478982,wnqay
NA1_3941435788,wnqay
NA1_3941429621,wnqay
NA1_3938381943,AngryLobster
NA1_3938332463,BatmanTheNew52
NA1_3938290518,BatmanTheNew52
NA1_3938245139,BatmanTheNew52
NA1_3937619515,BatmanTheNew52
NA1_3937596906,BatmanTheNew52
NA1_3941815216,JTrudeau
NA1_3941829893,JTrudeau
NA1_3941717296,JTrudeau
NA1_3941721020,JTrudeau
NA1_3941665885,JTrudeau
NA1_3938300540,PockyMan69
NA1_3931544183,PockyMan69
NA1_3931325974,PockyMan69
NA1_3929709155,PockyMan69
NA1_3925904328,PockyMan69
NA1_3915490823,bigboyBRODY
NA1_3915302067,bigboyBRODY
NA1_3915230916,bigboyBRODY
NA1_3914680876,bigboyBRODY
NA1_3914156496,bigboyBRODY
NA1_3936855639,SauceBuryMan
NA1_3936843040,SauceBuryMan
NA1_3934142142,SauceBuryMan
NA1_3932347157,SauceBuryMan
